file,desk,box_mac,box,cfg_selector,cfg_byte7,cfg_in,cfg_out,cfea_width,up_nch,enroll_in_out,chanmap,grant_base,grant_span,contiguous,live_edit_ch
reacpw-s1608-establish-acksweep-2026-07-18.pcap,M-200i,00:40:ab:c4:80:41,reac-pw(slave stand-in),0x82,0x02,16,8,"16,8",,1i/4o,0x00-0x2f/48,0x20,16,True,
reacpw-slave-m200-CONNECTED-2026-07-11.pcap,M-200i,00:40:ab:c4:80:41,reac-pw(slave stand-in),,,,,16,"16,40",,0x00-0x2f/23,,,,
reacpw-slave-m5000-established-2026-07-11.pcap,M-5000,"00:40:ab:c4:80:3b,00:40:ab:ca:15:4c","?00:40:ab:ca:15:4c,S-1608",0x82,0x02,16,8,,,,0x1d-0x24/8,0x20,6,True,
reacpw-slave-m5000-postfix-2026-07-11.pcap,M-5000,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,8,"16,40",,0x0d-0x24/24,0x20,6,True,
real-m200-s1608-alltraffic-2026-07-11.pcap,M-5000,00:40:ab:c4:80:3b,S-1608,,,,,16,,,0x00-0x2f/48,,,,
real-m200-s1608-coldboot-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8","16,40",,0x00-0x2f/48,0x20,16,True,
real-s1608-alltraffic-m5000-2026-07-11.pcap,M-5000,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8",,,0x00-0x2f/48,0x20,16,True,
real-s1608-coldboot-m5000-2026-07-11.pcap,M-5000,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8","16,40",,0x00-0x2f/48,0x20,16,True,
real_reac_stream.pcap,?00:40:ab:c9:91:9c,,,,,,,,40,,,,,,
s0808-reboot-enrollfix-2026-07-12.pcap,?00:40:ab:00:00:01,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,"40,8",1i/4o,0x00-0x06/7,0x00,8,True,
s0808-synced-2026-07-11.pcap,M-200i,,,,,,,8,40,,0x00-0x2f/39,,,,
s1608-master-bounce-2026-07-06.pcap,?00:40:ab:00:00:01,,,,,,,16,40,,0x00-0x2f/47,,,,
s1608-master-first-link-2026-07-06.pcap,?00:40:ab:00:00:01,,,,,,,16,40,,0x00-0x2f/47,,,,
s4000s-coldboot-m5000-2026-07-12.pcap,M-200i,00:40:ab:c4:06:80,S-4000S#1,0x84,0x00,32,8,"32,8","32,40,8",4i/1o,0x00-0x2f/48,0x00,32,True,
wired-reac-a-bothdirs-2026-06-09.pcap,?00:40:ab:ca:15:4d,00:40:ab:c4:80:3b,S-1608,,,,,16,"16,40",,0x00-0x2f/47,,,,
